TRANSACTION_ID,ACCOUNT_ID,TRANSACTION_DATE,AMOUNT,CHANNEL_CD,UPDATED_AT
700070,1034,2026-05-03,4400.00,ATM,2026-05-03T17:10:00
700071,1001,2026-05-04,12000.00,ATM,2026-05-04T08:55:00
700072,1004,2026-05-04,72000.00,BRANCH,2026-05-04T09:55:00
700073,1007,2026-05-04,-28000.00,ONLINE,2026-05-04T10:55:00
700074,1012,2026-05-04,4700.00,ATM,2026-05-04T11:55:00
700075,1016,2026-05-04,-17500.00,ONLINE,2026-05-04T12:55:00
700076,1020,2026-05-04,-21000.00,ONLINE,2026-05-04T13:55:00
700077,1025,2026-05-04,53000.00,BRANCH,2026-05-04T14:55:00
700078,1030,2026-05-04,9200.00,ATM,2026-05-04T15:55:00
700079,1033,2026-05-04,-600.00,ATM,2026-05-04T16:25:00
700080,1035,2026-05-04,8500.00,ATM,2026-05-04T17:00:00
